	...Creating new working directory and empty files
train: 23.00 [120.00/560.00 (0.18%)]	Loss: 32.97	Error: 5.69
train: 23.00 [180.00/560.00 (0.36%)]	Loss: 19.13	Error: 4.28
train: 23.01 [240.00/560.00 (0.54%)]	Loss: 19.27	Error: 4.36
train: 23.01 [300.00/560.00 (0.71%)]	Loss: 20.69	Error: 4.29
train: 23.01 [360.00/560.00 (0.89%)]	Loss: 26.42	Error: 5.07
train: 23.01 [420.00/560.00 (1.07%)]	Loss: 14.41	Error: 3.77
train: 23.01 [480.00/560.00 (1.25%)]	Loss: 24.73	Error: 4.83
train: 23.01 [540.00/560.00 (1.43%)]	Loss: 16.74	Error: 3.97
train: 23.02 [560.00/560.00 (1.61%)]	Loss: 15.45	Error: 3.89


val: 23.00 [60.00/187.00 (0.00%)]	Loss: 298.22	Error: 15.37
val: 23.01 [120.00/187.00 (0.53%)]	Loss: 365.14	Error: 16.56
val: 23.01 [180.00/187.00 (1.07%)]	Loss: 328.90	Error: 15.88
val: 23.02 [187.00/187.00 (1.60%)]	Loss: 296.10	Error: 14.58


Saving State Dict: new best loss is tensor(1288.3551, device='cuda:0')
train: 24.00 [60.00/560.00 (0.00%)]	Loss: 20.86	Error: 4.39
train: 24.00 [120.00/560.00 (0.18%)]	Loss: 13.29	Error: 3.59
train: 24.00 [180.00/560.00 (0.36%)]	Loss: 20.23	Error: 4.42
train: 24.01 [240.00/560.00 (0.54%)]	Loss: 16.43	Error: 3.97
train: 24.01 [300.00/560.00 (0.71%)]	Loss: 13.27	Error: 3.48
train: 24.01 [360.00/560.00 (0.89%)]	Loss: 14.97	Error: 3.81
train: 24.01 [420.00/560.00 (1.07%)]	Loss: 22.86	Error: 4.61
train: 24.01 [480.00/560.00 (1.25%)]	Loss: 21.19	Error: 4.52
train: 24.01 [540.00/560.00 (1.43%)]	Loss: 27.88	Error: 5.23
train: 24.02 [560.00/560.00 (1.61%)]	Loss: 20.61	Error: 4.44


val: 24.00 [60.00/187.00 (0.00%)]	Loss: 511.52	Error: 18.10
val: 24.01 [120.00/187.00 (0.53%)]	Loss: 532.00	Error: 18.10
val: 24.01 [180.00/187.00 (1.07%)]	Loss: 511.46	Error: 17.43
val: 24.02 [187.00/187.00 (1.60%)]	Loss: 459.24	Error: 18.94


